sample_id,split,status,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9
0,train_pool,unlabeled,0.6504065923919073,0.5487655687151665,0.7788111563713178,0.26713729030744804,0.6317035987480689,0.13506583954738288,0.1448188402329484,0.6090865296672106,0.7780425716270833,0.9122065898606778
1,validation_pool,unlabeled,0.43043628961630354,0.3763505880505962,0.5128389502611926,0.9436668816333704,0.6370560073127961,0.22494745724544135,0.4096712728989156,0.01745302603268922,0.7925646502064015,0.17784278056554048
2,train_pool,unlabeled,0.15655139681083588,0.7093691698062189,0.1926523064209828,0.08077847039044438,0.6927037286238601,0.8686732525250155,0.6462629297958424,0.9389192154543712,0.8489500221967486,0.5707954451436345
3,train_pool,unlabeled,0.25668956310778207,0.2019373834638114,0.35498419215375215,0.0965484493010948,0.17292472503049341,0.7538216257514319,0.06555004338738173,0.700706809898131,0.8268653255543658,0.503718002650285
4,validation_pool,unlabeled,0.3492125694830521,0.39468559826769184,0.7289901383799144,0.6550327797374146,0.16896879701081807,0.7829234899442727,0.0879371984613583,0.029945995337196163,0.4020941872825461,0.9566418149004396
5,train_pool,unlabeled,0.6580385825421504,0.479767549444021,0.33416990874650904,0.9443082013634527,0.33666387692162686,0.29447268151937,0.5309405533981408,0.3388734099863175,0.5157576555237567,0.8485522367546089
6,validation_pool,unlabeled,0.7968175285456939,0.6402621238911385,0.5218081743372938,0.12091551890765818,0.9427909884796889,0.6919329205494819,0.9231100901114518,0.7639018457088731,0.10983629297368179,0.5222247990712608
7,train_pool,unlabeled,0.026133488911024558,0.2627850800759116,0.08809864787713056,0.16863080262644214,0.9516190744183913,0.7361746638078157,0.03923700081175423,0.9918169400039606,0.44897444877899123,0.5372624706082645
8,train_pool,unlabeled,0.4201692806170257,0.2195967492845572,0.6610447159078177,0.23289734789538655,0.3234980678392634,0.8374092501026263,0.1312376874458463,0.6632243386485616,0.10687349254497694,0.3606582994233039
9,train_pool,unlabeled,0.7410400344555375,0.8775990735691521,0.7741185501778004,0.8329084947443409,0.41093192390455163,0.7966983538098641,0.9147298398469504,0.5804340861925922,0.22535468727357494,0.7770626228815641
10,train_pool,unlabeled,0.9252294572355162,0.0971470867710294,0.03671531023127574,0.8597654350368931,0.2110367210778686,0.08642860493274628,0.2099295014368951,0.7806354950312397,0.25975786216558366,0.7605395366196375
11,train_pool,unlabeled,0.9522233739887482,0.017445146005771642,0.49877085132671545,0.601085205063121,0.6389621632397664,0.1580660095839497,0.990571393951266,0.08812785608339943,0.10892770785551886,0.895595606739697
12,train_pool,unlabeled,0.6079094743007625,0.7214844075404667,0.5501426764450089,0.5106459115212816,0.9735837949296021,0.7194447676956908,0.881694530591458,0.9966833592763794,0.9764548834497415,0.43855518440743363
13,validation_pool,unlabeled,0.527482013091561,0.31750355703971533,0.16358987170071296,0.4319792563727312,0.9342438841900714,0.20465556745196672,0.595066138211257,0.3701566915378212,0.9909897090015474,0.47732523001757876
14,validation_pool,unlabeled,0.3913583016629959,0.7263085296805574,0.3115977035648246,0.9618579440502083,0.9253472988390262,0.12068771885562188,0.12690871168451218,0.33561391867101775,0.5863999692773937,0.6835603531443657
15,train_pool,unlabeled,0.9839116802186879,0.0016789609182754038,0.8039326991747394,0.4738189072415698,0.21371766741726503,0.8871782035588495,0.5684099391450028,0.16211607515560159,0.2541436971474072,0.20658995983142384
16,train_pool,unlabeled,0.36729266481263895,0.9102028968485802,0.7641817798203464,0.48265160070961555,0.6652461877649113,0.8726731376690415,0.38419620030622587,0.03265899555223287,0.9138037677380477,0.8455938539566258
17,train_pool,unlabeled,0.766561318710952,0.7563170362091175,0.3381894613789576,0.7810703679093995,0.6451068508825889,0.9167944251668906,0.1486311808736917,0.3415838335807717,0.08177864611376955,0.291408086033214
18,train_pool,unlabeled,0.2411758794013359,0.0077470520144296605,0.8498832069555589,0.30210688998034957,0.7735271617675317,0.6331793463623794,0.24577565985139263,0.0588197260031963,0.8895794440881273,0.11825302503721737
19,train_pool,unlabeled,0.06300973837119292,0.5763671501691282,0.7707613331299676,0.27020163417955606,0.39631752578595997,0.9401642967076418,0.4408394557936958,0.3279208594569946,0.39129082142780675,0.5781221475398826
20,train_pool,unlabeled,0.7192730068726039,0.4081808011629164,0.858307765124218,0.9379954878450737,0.08768375063256155,0.8595281783007209,0.5353859983689552,0.9437083924943948,0.8672780290005544,0.3001511763567948
21,train_pool,unlabeled,0.09696163279963801,0.38891747024003304,0.8819408832654353,0.10158920790610282,0.3108285128583528,0.27793765604027354,0.5500819328085165,0.5701652192028452,0.08140573349068854,0.8022434322157624
22,train_pool,unlabeled,0.07911505736629829,0.9233588956109531,0.6895723503932959,0.21605415214766663,0.08147164267122618,0.6130007538634998,0.8984188885661716,0.36155518942430304,0.02703590799661173,0.6715891407324753
23,validation_pool,unlabeled,0.04129229299511177,0.9257552119396784,0.5072994345482423,0.9130519827268917,0.5140417839413103,0.9694332331678498,0.6083644642534516,0.13854710663598646,0.8026713016529539,0.8839494141738325
24,train_pool,unlabeled,0.21752510919257032,0.4089309210116405,0.8154872499233863,0.538487123695829,0.6126044685876733,0.7187779050022101,0.5529297331146663,0.7698633550872148,0.027743143293819144,0.6690852177052417
