sample_id,x_0,x_1,x_2
248,0.9647035176053436,0.07892229982671,0.0492261362421293
311,0.957713464064608,0.6493342651174727,0.4192292508962877
367,0.2755212043305144,0.6816667084048398,0.8374406270615241
108,0.1273692285019797,0.0077035305847013,0.5513070681968375
289,0.1832548920834061,0.9469725418417456,0.1113614537901013
418,0.6939337782080968,0.7132362505266084,0.8480676475143294
472,0.2845301132578801,0.6181052176528511,0.1003410241234933
269,0.9374128382833892,0.2801943839972436,0.9529997167862256
128,0.7596960305590127,0.8486868755516765,0.2963515774150777
423,0.1112182620113339,0.1492141299963285,0.1082955514166006
230,0.320141986172018,0.9233402327999894,0.8789664083072437
238,0.9245434302141644,0.0712394207370748,0.5750638672169935
201,0.9913582837700566,0.6328840883733956,0.1993532444915651
404,0.7019622993743966,0.7458118454631602,0.0263981157631049
145,0.8095920495202537,0.8608788435835253,0.6608544011645892
488,0.4385934156509891,0.6957242200272242,0.6938294823476319
354,0.029299768875559,0.9904750604028938,0.4050050409424768
219,0.0012788535969157,0.133371598985468,0.9401870010108544
121,0.8990957439012217,0.3880297206544614,0.6856986818645201
206,0.7188691275171293,0.0898024188471977,0.8418337987793887
394,0.3788972270956662,0.0480919819373544,0.2998392696237018
203,0.4235681412038971,0.7326790265622969,0.5275316553658475
106,0.1123422772963962,0.9087839159686708,0.7584090262859557
251,0.3164602294651931,0.9138760043991316,0.6148045307016218
336,0.4167579462379538,0.808113780101668,0.925130004364896
266,0.0679462315279587,0.4150076773795716,0.0255099303445855
320,0.8690359155008874,0.948453086093068,0.559057685079088
361,0.8186703765108196,0.5387032923713864,0.631463034966232
242,0.4419374187299383,0.8913131281728209,0.034274072747135
370,0.8769129236509403,0.9727534397416452,0.993922938379752
126,0.6477628324093266,0.6622744696105147,0.9228120548197478
474,0.9017944162064664,0.2056129769875875,0.3555145655005151
264,0.5592096596540606,0.9002828567611687,0.1076823342499165
477,0.9607607620578554,0.429928052366244,0.0814506484251037
143,0.4363095936505481,0.4983052778495374,0.9207461031669274
224,0.7360033825564373,0.9816180874392786,0.7458743195264045
165,0.8813351554651727,0.9666735287439284,0.4122348314916896
113,0.0499144261444135,0.982331078331488,0.1945469150735108
303,0.6126165166998603,0.979542195627462,0.3866038916793832
222,0.8216368469290734,0.0611318561238318,0.1683845283382734
427,0.7973094112474062,0.7306205491236717,0.9650563183712833
133,0.9928086333382752,0.0417451584652141,0.1824145555897093
473,0.962011792167168,0.821014135634668,0.0554786387211472
134,0.9488402870355468,0.1445723883029184,0.959131713255902
163,0.5551064472817697,0.2102303394148995,0.0432125210448076
468,0.2596633310587223,0.0525867355519304,0.0771674042836975
275,0.9302767481230324,0.4550967128680967,0.5312917616361944
250,0.1154582535959007,0.6971515183214737,0.1785952291305538
317,0.5425987575044,0.9945698558651268,0.9617159206267272
103,0.6697443335658122,0.7852490435588838,0.9760931239414836
124,0.8533121160222236,0.5453134726059763,0.8389766326425082
409,0.2480011437922558,0.0195188036186687,0.5713469997155532
283,0.0463109589996235,0.9848753468102768,0.9717362337811633
307,0.2372179404228763,0.7892544348137995,0.9860658035603068
429,0.7354175705676683,0.3279556850589041,0.9165346494733532
208,0.1457527352529453,0.8069038277274014,0.0159501656308275
491,0.994330089462407,0.8543451178228727,0.8553364310867863
180,0.0634594635733876,0.1219853840872537,0.2703989119493352
286,0.9969347802984646,0.6714940282468596,0.7482346323988867
365,0.2506483121140093,0.0876092661539502,0.8772330387221686
467,0.854011089636276,0.6560153741717998,0.3494732357909845
291,0.2325968895828973,0.9111900824563032,0.5490786005278377
378,0.1802192982607013,0.7346661372449862,0.7618302529191872
139,0.9324625229594564,0.9216263695676296,0.1470509543028
