sample_id,x_0,x_1
475,0.7793546358905455,0.8366430535257608
221,0.0380129975193561,0.1354893376823306
435,0.7846018997491312,0.241344681594702
130,0.1611227362683263,0.8442070037545407
124,0.8533121160222236,0.5453134726059763
248,0.9647035176053436,0.07892229982671
188,0.5314070798501748,0.8588755165486185
393,0.915042599625656,0.9974970730361908
441,0.1163268049875238,0.0272623220337092
175,0.975495031337956,0.478430046132655
113,0.0499144261444135,0.982331078331488
410,0.643952412065862,0.080507954678827
427,0.7973094112474062,0.7306205491236717
376,0.5359744661272631,0.2983090458048196
85,0.1750190525873529,0.7014189979231379
276,0.2904235964108841,0.1706178657679052
87,0.8283982598654532,0.1225904615077665
244,0.9266394191368376,0.1890788155179688
251,0.3164602294651931,0.9138760043991316
442,0.684047328869403,0.3561372203056487
271,0.603091180578411,0.6877235287240452
285,0.8897828518516209,0.6666562447118757
201,0.9913582837700566,0.6328840883733956
492,0.6786103817346772,0.925657917945789
268,0.4884085183988471,0.0590623326362975
126,0.6477628324093266,0.6622744696105147
209,0.8756966726947033,0.8751957717247659
241,0.6526643709358929,0.961670239653269
431,0.8643517733634131,0.2287315500988111
237,0.6815906909983058,0.2708165917115908
380,0.893438547922552,0.5897397254130728
100,0.0324408812440813,0.9367236561926936
228,0.1340642004878081,0.7612047979705463
397,0.5453267774299322,0.2431691201833043
292,0.3032997561152789,0.2722795540250144
421,0.9824388432692428,0.0392674956575615
361,0.8186703765108196,0.5387032923713864
68,0.64172921139244,0.3376960663769274
392,0.5198665187559874,0.9556888567773718
460,0.3589340493360733,0.8667457039642027
387,0.5006323543925437,0.8001123442404262
326,0.3019902987133218,0.8336196318353959
267,0.857501928953237,0.076286235440257
448,0.0204372759496072,0.8514286310983349
396,0.9770922646194676,0.3099030430507621
305,0.1979421567552272,0.9059353930153856
499,0.6363091066766644,0.5464484897382151
288,0.8103393827923961,0.4418194016582304
394,0.3788972270956662,0.0480919819373544
491,0.994330089462407,0.8543451178228727
415,0.7325094450122771,0.7224866329496454
399,0.0433962787899764,0.7948844161276726
351,0.9697068959011382,0.3963484924028124
383,0.6514731289435102,0.0174374348504459
105,0.5961504877201476,0.8801318237085595
298,0.7434388599982897,0.6680154598131387
409,0.2480011437922558,0.0195188036186687
375,0.9112753228735524,0.4389805377082884
76,0.5263154936647145,0.1191496238603573
191,0.8264492813319947,0.4110264759152184
495,0.4038527339660163,0.8297917535311137
70,0.4199706176875594,0.773508891650494
286,0.9969347802984646,0.6714940282468596
109,0.1939922427604802,0.9988978559260668
