sample_id,x_0,x_1,x_2,x_3,x_4,x_5
423,0.361313677314195,0.9409868825328432,0.5422299907660267,0.5761999558312858,0.0676042894845417,0.2999907680534581
600,0.4732068343895144,0.5756201921878747,0.4020111502077693,0.037943277818742,0.1925815938231766,0.4319510730365301
245,0.4266560580111118,0.4930769374914413,0.7928809872485474,0.7621753593447754,0.9938854600505423,0.8136256827568734
241,0.5316694588446199,0.4071682336459515,0.8578389717089374,0.6546268109564803,0.5851276807510232,0.5340711339203953
808,0.1061115521735958,0.4778681168905816,0.817861842023281,0.4402384851313325,0.8563103137358091,0.4386050834047922
903,0.308796122304888,0.8039627719949939,0.5986055110178612,0.1223080357235363,0.2101465532534691,0.441477416264364
816,0.7681214260833626,0.7982673430662781,0.921931589580219,0.2676591556403537,0.263547537299608,0.1705127956752139
297,0.4567658136842972,0.8548576515999285,0.4959818531991097,0.9653074283236664,0.8296033639124678,0.4920787528595716
532,0.7174320286641608,0.3469222261045112,0.6085392859863306,0.3930008676419623,0.8739188958663964,0.2667916606970604
485,0.3098607025820009,0.2413959487099532,0.4626455516040819,0.6308097165211888,0.8979022347198222,0.8176335517980777
560,0.6534777291872658,0.3951524114101841,0.4230543883059277,0.1479185016225526,0.4453704806412477,0.8702716739238493
613,0.8065385805777039,0.3829813184568466,0.0557264111120898,0.4153028280764864,0.4672773475540362,0.9608254565299332
433,0.0746554386652948,0.7263837099628376,0.3472131751318645,0.8693019928994371,0.2703773056304099,0.3971412774926349
138,0.3263321854679464,0.1488767431679179,0.6262545180281783,0.2878418330352387,0.2301628427739765,0.3886961225343117
155,0.4823517588026718,0.986119443006908,0.0177795262225844,0.2175264080538122,0.1220695811888931,0.5389784837607744
957,0.7928793262551466,0.3729151264595935,0.3902198657254605,0.3216752911191366,0.0131613334364295,0.7259396168095964
844,0.8463800093975227,0.5174906034561108,0.5727279743154478,0.5100072239948765,0.3684459822556667,0.2748154649225112
713,0.4047960247601268,0.8870708283054005,0.8520477093040824,0.4806156285272581,0.5457826462397541,0.8571978764436174
516,0.9345394077589844,0.6485752353982704,0.8767747443671265,0.4493392851058845,0.1299225188616027,0.5045232870871591
321,0.2425227827155319,0.7226934365417165,0.4895011231713773,0.9273516293676444,0.5785088980067989,0.2647924004343626
172,0.1042668251899525,0.1429971718030885,0.1720043376276669,0.469014365204962,0.637357886664793,0.7329093377099537
486,0.994951521525381,0.2031335687821968,0.5861677217015936,0.5222392537589229,0.9957675451308404,0.8050773814282883
382,0.0006394267984578,0.900008474741953,0.6035314299501726,0.840415609775511,0.4589672965061888,0.1642069245963101
542,0.3717194299991448,0.6801601357112154,0.6503974541481955,0.148936676483115,0.7833406595721238,0.5179580156516462
687,0.0432893879636021,0.579815475470003,0.6238371905140333,0.6501386239146755,0.912675622066481,0.3104286284039205
